ID,Wahlbeteiligung,CDU,LINKE,SPD,Gruen,AfD,FDP,PMUT,FW,MLPD,Volt
08402,0.697210377,0.198849660,0.078743726,0.297277505,0.133034117,0.089264642,0.087772789,0.047188229,0.009025438,0.001421157,0.001350462
08403,0.644826315,0.176414768,0.079322610,0.285536422,0.116263721,0.124782830,0.078411122,0.054560827,0.009723129,0.001259316,0.002657762
08404,0.738419619,0.266836086,0.026683609,0.341804320,0.087674714,0.095298602,0.095298602,0.029224905,0.007623888,0.000000000,0.003811944
08405,0.646856158,0.252732240,0.053278689,0.290983607,0.071038251,0.113387978,0.106557377,0.031420765,0.006830601,0.000000000,0.002732240
08406,0.717154812,0.234093637,0.054021609,0.273709484,0.106842737,0.108043217,0.080432173,0.046818727,0.012004802,0.000000000,0.002400960
08407,0.705531915,0.259950249,0.044776119,0.300995025,0.110696517,0.115671642,0.089552239,0.024875622,0.002487562,0.000000000,0.009950249
08408,0.760832517,0.243272483,0.049288416,0.268592321,0.146096878,0.105352685,0.091229625,0.038439229,0.004679445,0.000000000,0.004609927
08409,0.763559089,0.243401384,0.052750079,0.294401156,0.086190451,0.110350897,0.131162254,0.031085909,0.012180268,0.000000000,0.001332642
08410,0.795228628,0.317380353,0.028967254,0.249370277,0.100755668,0.091939547,0.129722922,0.022670025,0.011335013,0.000000000,0.005037783
08411,0.749752720,0.349333333,0.017333333,0.265333333,0.094666667,0.088000000,0.132000000,0.017333333,0.004000000,0.000000000,0.001333333
08412,0.754646840,0.327020202,0.034090909,0.268939394,0.102272727,0.079545455,0.082070707,0.036616162,0.003787879,0.000000000,0.002525253
08413,0.669708029,0.248603352,0.055865922,0.322625698,0.076815642,0.106145251,0.092178771,0.044692737,0.002793296,0.000000000,0.002793296
08414,0.679513185,0.262595420,0.047328244,0.299236641,0.076335878,0.091603053,0.111450382,0.025954198,0.006106870,0.000000000,0.003053435
08415,0.641640867,0.237623762,0.050742574,0.264851485,0.070544554,0.123762376,0.074257426,0.027227723,0.013613861,0.000000000,0.001237624
