ID;Wahlbeteil;displayValue
09312;0,818878204;0,668211126
09313;0,775583598;0,588901684
09314;0,752245239;0,546149194
09315;0,865711932;0,754003727
09316;0,856054896;0,736313437
09317;0,766713511;0,572652971
09318;0,874273201;0,769686730
09319;0,853670487;0,731945545
09320;0,818978478;0,668394814
09321;0,847689021;0,720988366
09322;0,859545214;0,742707193
09323;0,871280626;0,764204767
09324;0,884095547;0,787679844
09325;0,899087588;0,815143090
09326;0,864063836;0,750984654
09327;0,845961125;0,717823111
09328;0,875781376;0,772449488
09329;0,820158027;0,670555576
09330;0,737866385;0,519809218
09331;0,721845073;0,490460497
09332;0,681927761;0,417337768
09333;0,79294474;0,620704780
09334;0,804121721;0,641179389
09335;0,843977712;0,714189786
09336;0,843629344;0,713551627
09337;0,864787909;0,752311050
09338;0,680159805;0,414099129
09339;0,568941262;0,210362881
09340;0,601062139;0,269203671
09341;0,743565166;0,530248558
09401;0,839531712;0,706045359
09402;0,857694504;0,739316961
09403;0,862902417;0,748857102
09404;0,855850214;0,735938489
09405;0,869245725;0,760477123
09406;0,87603316;0,772910720
09407;0,872222529;0,765930197
09408;0,87029703;0,762402961
09409;0,909741439;0,834659401
09410;0,86793045;0,758067730
09411;0,892368306;0,802834340
09412;0,900187899;0,817158700
09413;0,90594218;0,827699709
09414;0,870770634;0,763270535
09415;0,864009708;0,750885499
09416;0,879957788;0,780100070
09417;0,823385261;0,676467401
09418;0,867708732;0,757661575
09419;0,781529994;0,599794620
09420;0,709487734;0,467823643
09421;0,823763538;0,677160350
09422;0,747024793;0,536586094
09423;0,791048052;0,617230322
09424;0,756845968;0,554577062
09425;0,780031638;0,597049849
09426;0,74076659;0,525121973
09427;0,773537034;0,585152676
09428;0,861406491;0,746116783
09429;0,859259321;0,742183479
09430;0,84492117;0,715918065
09431;0,822126791;0,674162067
09432;0,806878196;0,646228851
09433;0,856284921;0,736734809
09434;0,85861356;0,741000538
09435;0,852619278;0,730019882
09436;0,854599051;0,733646540
09437;0,782123118;0,600881137
09438;0,860957998;0,745295209
09439;0,832988264;0,694058711
09440;0,656940701;0,371565096
09501;0,836134588;0,699822320
09502;0,781641599;0,599999064
09503;0,805450907;0,643614265
09504;0,744667738;0,532268311
09505;0,761520774;0,563140629
09506;0,790763472;0,616709013
09507;0,835018777;0,697778316
09508;0,822326537;0,674527972
09509;0,751924772;0,545562145
09510;0,808786261;0,649724150
09511;0,812550313;0,656619347
09512;0,745998248;0,534705612
09513;0,810896886;0,653590509
09514;0,707856964;0,464836309
09515;0,768838244;0,576545174
09516;0,859747153;0,743077116
09517;0,807623184;0,647593561
09518;0,888595186;0,795922531
09519;0,867860289;0,757939205
09520;0,727019499;0,499939295
09521;0,812615742;0,656739204
09522;0,824600938;0,678694345
09523;0,761156654;0,562473614
09524;0,851864388;0,728637033
09525;0,891449515;0,801151248
09526;0,837403675;0,702147104
09527;0,874140421;0,769443497
09528;0,854999702;0,734380474
09529;0,870493331;0,762762556
09530;0,883594263;0,786761565
09531;0,870835967;0,763390216
09532;0,775906736;0,589493626
09533;0,738888075;0,521680806
09601;0,898052807;0,813247521
09602;0,845877753;0,717670386
09603;0,905937159;0,827690511
09604;0,822472343;0,674795068
09605;0,802797618;0,638753824
09606;0,811077175;0,653920772
09607;0,802804004;0,638765522
09608;0,863718458;0,750351971
09609;0,808816674;0,649779862
09610;0,846737806;0,719245878
09611;0,87469618;0,770461567
09612;0,903353818;0,822958205
09613;0,847787553;0,721168863
09614;0,837115731;0,701619632
09615;0,797652008;0,629327812
09616;0,897207407;0,811698871
09617;0,849770106;0,724800612
09618;0,884451019;0,788331017
09619;0,852651869;0,730079584
09620;0,860683427;0,744792234
09621;0,805455352;0,643622407
09622;0,901639553;0,819817920
09623;0,872187958;0,765866867
09624;0,851587525;0,728129861
09625;0,8929607;0,803919519
09626;0,882576878;0,784897863
09627;0,689095319;0,430467695
09628;0,88942572;0,797443949
09629;0,852565786;0,729921893
09630;0,884171908;0,787819727
09631;0,892633944;0,803320950
09632;0,887554468;0,794016086
09633;0,858657451;0,741080940
09634;0,803468334;0,639982478
09635;0,874607504;0,770299125
09636;0,875571445;0,772064925
01101;0,68549903;0,423879815
01104;0,856031516;0,736270608
01107;0,817642519;0,665947530
01106;0,874959374;0,770943700
01110;0,884933457;0,789214774
01109;0,871759657;0,765082282
01108;0,874633517;0,770346777
01126;0,849123381;0,723615906
01129;0,816916625;0,664617798
01112;0,890453861;0,799327354
01127;0,857014806;0,738071853
01114;0,883235721;0,786104768
01128;0,852233421;0,729313048
01115;0,890533893;0,799473961
01116;0,876114181;0,773059139
01119;0,885082589;0,789487962
01120;0,869267925;0,760517790
01118;0,896762873;0,810884549
01124;0,866569495;0,755574658
01105;0,846749755;0,719267767
01200;0,798415724;0,630726829
01201;0,792949495;0,620713490
01203;0,804737039;0,642306562
01214;0,811078449;0,653923106
01215;0,831677574;0,691657717
01204;0,770101026;0,578858407
01205;0,769324622;0,577436148
01206;0,81613751;0,663190572
01207;0,873338975;0,767975364
01208;0,864740969;0,752225063
