"ID","uwb3","bwb","bwb3","awk","bez","bwk","wahlbeteil","cduinkbw","linkeinkbw","spdinkbw","grueninkbw","afdinkbw","fdpinkbw","parteimens","fwinkbw","mlpdinkbw","voltinkbw"
"01312","312","013F","3F","0103","01","75","0.817311559","0.100627359","0.109228146","0.230328702","0.398324170","0.036539492","0.066965468","0.012649375","0.002607941","0.000869314","0.003911911"
"01313","313","013F","3F","0103","01","75","0.828903021","0.129727936","0.088953267","0.244697690","0.356492719","0.039711159","0.082707684","0.009271281","0.005581736","0.000898677","0.005486900"
"01314","314","013G","3G","0103","01","75","0.725656698","0.129527930","0.103562368","0.254985496","0.290097381","0.043992315","0.095761504","0.016445389","0.004184318","0.000000000","0.008798463"
"01315","315","013G","3G","0103","01","75","0.748364665","0.122917276","0.104459107","0.215826761","0.331636179","0.052234730","0.084321039","0.015665242","0.006341679","0.000000000","0.007087150"
"01316","316","013H","3H","0103","01","75","0.642159950","0.188715349","0.086426948","0.283940956","0.168577367","0.054297481","0.107798490","0.012485465","0.008496166","0.000000000","0.008313005"
"01317","317","013I","3I","0103","01","75","0.733560091","0.151296091","0.105710355","0.241766245","0.311817225","0.031370539","0.091683975","0.011868476","0.003182909","0.001564481","0.008334907"
"01318","318","013I","3I","0103","01","75","0.775870858","0.161052312","0.100590035","0.257196930","0.290952156","0.044020377","0.096278979","0.010652877","0.005485752","0.000000000","0.006526087"
"01319","319","013I","3I","0103","01","75","0.758783050","0.155452901","0.086912161","0.249515416","0.303640692","0.047924269","0.100870686","0.015594322","0.005971495","0.000000000","0.008443969"
"01320","320","013J","3J","0103","01","75","0.849324349","0.211943908","0.068010759","0.244029673","0.283430579","0.038240462","0.110676095","0.008470165","0.003953105","0.000000000","0.008312908"
"01321","321","013J","3J","0103","01","75","0.776952976","0.229166755","0.074203185","0.231147388","0.235592408","0.054473239","0.119917932","0.010810203","0.004344238","0.000000000","0.003610120"
"01322","322","013J","3J","0103","01","75","0.718868095","0.223809372","0.071337632","0.231000427","0.207869920","0.053499814","0.134004165","0.011299255","0.009528205","0.000000000","0.007573002"
"01323","323","013H","3H","0103","01","75","0.810058200","0.197704684","0.068793436","0.264111803","0.206864666","0.067045591","0.126202026","0.016915817","0.007545457","0.000000000","0.012002525"
"01324","324","013K","3K","0103","01","75","0.730215656","0.183172569","0.082665650","0.189099138","0.252756823","0.035048890","0.173724894","0.010459711","0.003795887","0.000484997","0.009046764"
"01325","325","013L","3L","0103","01","75","0.722260704","0.135514769","0.113441748","0.231333263","0.291971931","0.035079796","0.125190585","0.007180855","0.002406753","0.000000000","0.004528576"
"01326","326","013L","3L","0103","01","75","0.794983869","0.126993871","0.113685313","0.235295808","0.321846609","0.038227716","0.108462083","0.009721695","0.004751003","0.000911601","0.006048598"
"01327","327","013K","3K","0103","01","75","0.755711054","0.125388529","0.100695817","0.197277626","0.348344440","0.036767783","0.130900811","0.006891795","0.002594524","0.000425687","0.006466108"
"01400","400","014A","4A","0104","01","75","0.680829543","0.093524546","0.143939680","0.166169764","0.352129132","0.048425952","0.076257194","0.015367802","0.005552411","0.000000000","0.005060226"
"01401","401","014A","4A","0104","01","75","0.719902800","0.057793858","0.157682067","0.181946788","0.406455416","0.049460355","0.060428057","0.025563528","0.001908575","0.000000000","0.002544767"
"01402","402","014B","4B","0104","01","75","0.661873036","0.066404882","0.169126107","0.191886349","0.360662298","0.048046621","0.064341454","0.018608374","0.003213946","0.001150518","0.016995148"
"01403","403","014C","4C","0104","01","75","0.772789176","0.079094588","0.132994077","0.191432934","0.407351782","0.031527941","0.069009222","0.016043102","0.004429473","0.000000000","0.007481604"
"01404","404","014C","4C","0104","01","75","0.686296682","0.092744449","0.165098823","0.198379403","0.356330096","0.031083536","0.060834258","0.012667265","0.007685235","0.000000000","0.017448157"
"01405","405","014B","4B","0104","01","75","0.687619333","0.079882844","0.151340074","0.218183277","0.346092120","0.048427219","0.075810464","0.012598299","0.005917991","0.000000000","0.011494945"
"01406","406","014D","4D","0104","01","75","0.767742072","0.064795417","0.128038822","0.200647740","0.415686861","0.040662277","0.062142460","0.019434349","0.004918979","0.000000000","0.010278336"
"01407","407","014D","4D","0104","01","75","0.757709662","0.070000576","0.110417065","0.195205794","0.396998797","0.055716618","0.088995019","0.012016638","0.005519686","0.000000000","0.011856354"
"01408","408","014E","4E","0104","01","75","0.818014720","0.087860685","0.130146288","0.211766543","0.402091777","0.024823947","0.067689506","0.013958304","0.004652768","0.000541904","0.009529908"
"01409","409","014C","4C","0104","01","75","0.776641403","0.099397770","0.145697931","0.202522211","0.341541947","0.045048000","0.055512492","0.021376185","0.004322938","0.008407370","0.003040964"
"01410","410","014E","4E","0104","01","75","0.811370403","0.079917364","0.129781496","0.208760646","0.406252596","0.024008543","0.071505863","0.013208954","0.006961626","0.001500534","0.013749997"
"01411","411","014F","4F","0104","01","75","0.744801752","0.084369623","0.147550845","0.223345770","0.330717546","0.038753229","0.083409016","0.013386907","0.006273434","0.000000000","0.009459295"
"01412","412","014F","4F","0104","01","75","0.786301040","0.083959341","0.118689276","0.232137287","0.371852836","0.041259652","0.071498949","0.006007923","0.006897014","0.000000000","0.007463992"
"01413","413","014F","4F","0104","01","75","0.733496208","0.097237563","0.117205586","0.223340243","0.356080437","0.048812964","0.055737970","0.014525867","0.009189628","0.000000000","0.009487207"
"01414","414","014G","4G","0104","01","75","0.765127913","0.072274727","0.164701983","0.182531733","0.388705002","0.027505577","0.047820217","0.019412143","0.007858736","0.000000000","0.012010704"
"01415","415","014H","4H","0104","01","75","0.798423760","0.068988849","0.150226208","0.181149217","0.394132126","0.031226570","0.078516281","0.013982101","0.006839270","0.001484890","0.009527432"
