"uwb","uwb3","bwb","bwb3","awk","bez","bwk","bezirk","wberins","wahlbeteil","spdinkbw","grueninkbw","cduinkbw","linkeinkbw","afdinkbw","fdpinkbw","parteimens","fwinkbw","voltdeutsc","mlpdinkbw","bswinkbwb"
"09114","114","091G","1G","0901","09","83","Treptow-K̦penick","743","0.811948388","0.121819906","0.187686705","0.126229336","0.290898214","0.134984236","0.016836347","0.013713628","0.004894768","0.004304085","0.002742726","0.085995169"
"09115","115","091G","1G","0901","09","83","Treptow-K̦penick","501","0.735972750","0.133264037","0.093703679","0.131504979","0.254663657","0.237079225","0.032419566","0.015726965","0.005621606","0.009311938","0.000965637","0.071943021"
"09116","116","091H","1H","0901","09","83","Treptow-K̦penick","746","0.768459919","0.132495433","0.079808002","0.109847942","0.282081706","0.247765698","0.019007236","0.023314647","0.007141706","0.003779059","0.000944765","0.081809471"
"09117","117","091H","1H","0901","09","83","Treptow-K̦penick","760","0.772011711","0.120656667","0.100229070","0.103388655","0.270890564","0.235889379","0.022551541","0.016614153","0.005011453","0.004875416","0.000789896","0.101699155"
"09118","118","091L","1L","0901","09","83","Treptow-K̦penick","984","0.726323387","0.132759626","0.119915810","0.112444402","0.286871054","0.199867341","0.022394124","0.028630826","0.005831833","0.007382394","0.000000000","0.063182498"
"09119","119","091I","1I","0901","09","83","Treptow-K̦penick","873","0.815177423","0.120576243","0.116505096","0.116812998","0.315714503","0.170210648","0.025275945","0.021895245","0.003072799","0.011715822","0.000000000","0.086389804"
"09120","120","091I","1I","0901","09","83","Treptow-K̦penick","695","0.803381452","0.118911947","0.127653969","0.118278809","0.312479108","0.163982713","0.020158166","0.015446991","0.005100496","0.010346496","0.000000000","0.097440314"
"09121","121","091S","1S","0901","09","83","Treptow-K̦penick","874","0.809779077","0.119315171","0.223937920","0.078349369","0.360086972","0.095375938","0.024372780","0.016737538","0.008465113","0.016785710","0.000000000","0.041795672"
"09122","122","091S","1S","0901","09","83","Treptow-K̦penick","778","0.847369006","0.115500214","0.196544550","0.078787822","0.359419834","0.119870010","0.025596532","0.017047136","0.001573220","0.012430790","0.000000000","0.057124341"
"09123","123","091J","1J","0901","09","83","Treptow-K̦penick","915","0.757720841","0.134667354","0.109353398","0.094805702","0.272952364","0.235687138","0.033055064","0.019379266","0.000000000","0.005703468","0.000000000","0.079554706"
"09124","124","091J","1J","0901","09","83","Treptow-K̦penick","931","0.727911311","0.106516297","0.104131383","0.117552081","0.306251636","0.201295655","0.024273786","0.009959363","0.002982377","0.012048014","0.000000000","0.097396345"
"09125","125","091K","1K","0901","09","83","Treptow-K̦penick","995","0.823825650","0.135962256","0.081203299","0.124627058","0.270922580","0.196913157","0.022501180","0.020118807","0.005719922","0.010636071","0.002458075","0.107514049"
"09126","126","091M","1M","0901","09","83","Treptow-K̦penick","868","0.819978471","0.113820380","0.205544828","0.088306929","0.303621582","0.158368807","0.021503489","0.019150173","0.001272655","0.009352921","0.000000000","0.058191074"
"09127","127","091N","1N","0901","09","83","Treptow-K̦penick","971","0.799972796","0.116924365","0.137556628","0.112492614","0.297198149","0.172764428","0.023242072","0.017234587","0.003914713","0.013098286","0.001304904","0.094740989"
"09128","128","091K","1K","0901","09","83","Treptow-K̦penick","901","0.820525503","0.145250581","0.064080047","0.152382130","0.243823282","0.234561916","0.015964973","0.021342700","0.004568842","0.005934300","0.000000000","0.096294464"
"09129","129","091Q","1Q","0901","09","83","Treptow-K̦penick","830","0.818942748","0.143801263","0.137348304","0.108707712","0.310505371","0.157353622","0.015255574","0.018790374","0.002056236","0.008548165","0.002957129","0.083964111"
"09130","130","091N","1N","0901","09","83","Treptow-K̦penick","927","0.860006920","0.134977472","0.136471425","0.109082286","0.284349063","0.157861039","0.031657576","0.014820963","0.005027271","0.012520749","0.003770453","0.097272943"
"09131","131","091Q","1Q","0901","09","83","Treptow-K̦penick","994","0.807120241","0.142952343","0.125814975","0.112455817","0.333047548","0.162852734","0.009654992","0.010420767","0.002022580","0.005301965","0.001256805","0.086986512"
"09132","132","091R","1R","0901","09","83","Treptow-K̦penick","824","0.842179974","0.140408796","0.129796536","0.220451021","0.185697737","0.181336995","0.030889524","0.008420679","0.001900118","0.011068139","0.000000000","0.080229060"
"09133","133","091R","1R","0901","09","83","Treptow-K̦penick","980","0.872493573","0.164786013","0.101761982","0.223391513","0.162254673","0.186901296","0.044304485","0.010805714","0.001986755","0.005147159","0.000000000","0.092490458"
"09134","134","091M","1M","0901","09","83","Treptow-K̦penick","781","0.841560419","0.120595422","0.225219270","0.080784531","0.321479584","0.129224558","0.022723785","0.014555027","0.001688053","0.011338283","0.000000000","0.061212565"
"09135","135","091P","1P","0901","09","83","Treptow-K̦penick","754","0.715596330","0.130503548","0.128708216","0.157818244","0.286962469","0.146866718","0.027212106","0.009387022","0.001863726","0.008472258","0.000000000","0.088142259"
"09136","136","091P","1P","0901","09","83","Treptow-K̦penick","784","0.811786182","0.139804244","0.133461627","0.130917373","0.328432220","0.135436487","0.025766880","0.014083492","0.003142478","0.006998501","0.000000000","0.076529436"
"09137","137","091L","1L","0901","09","83","Treptow-K̦penick","756","0.750393898","0.110216497","0.110216497","0.112413670","0.256070853","0.206212203","0.030781893","0.028344963","0.008738594","0.012141707","0.003556987","0.097330471"
"09138","138","091T","1T","0901","09","83","Treptow-K̦penick","696","0.710875332","0.067665645","0.168898204","0.094725646","0.333854721","0.198554714","0.022211099","0.015172371","0.003034474","0.007038729","0.000000000","0.070700119"
"09139","139","091U","1U","0901","09","83","Treptow-K̦penick","957","0.843053563","0.112560509","0.191039063","0.102147360","0.284338765","0.156482185","0.038046690","0.011662023","0.004756276","0.016193150","0.000000000","0.065676714"
"09140","140","091U","1U","0901","09","83","Treptow-K̦penick","1017","0.806487453","0.113776279","0.188692472","0.119134376","0.294442015","0.162585629","0.033720615","0.006923189","0.003907524","0.012281286","0.001228476","0.051918712"
"09141","141","091T","1T","0901","09","83","Treptow-K̦penick","555","0.831046431","0.099567825","0.128346008","0.153338470","0.245669872","0.209822775","0.041542430","0.016415960","0.001105565","0.016415960","0.000000000","0.076719488"
"09142","142","091V","1V","0901","09","83","Treptow-K̦penick","825","0.717192262","0.097133285","0.132988753","0.076563771","0.271232352","0.261019383","0.023249581","0.026168940","0.003876525","0.006786313","0.002421632","0.078219670"
"09143","143","091V","1V","0901","09","83","Treptow-K̦penick","1010","0.775560776","0.108721833","0.156023738","0.098630276","0.278529868","0.201519175","0.027321929","0.034097999","0.007334697","0.014118023","0.000732744","0.061419928"
"09201","201","092A","2A","0902","09","83","Treptow-K̦penick","888","0.865004049","0.151707740","0.145190882","0.147421878","0.223921563","0.178039365","0.017862647","0.015250033","0.003405205","0.008439624","0.000000000","0.088006928"
"09202","202","092I","2I","0902","09","83","Treptow-K̦penick","884","0.824206030","0.155749201","0.102205138","0.171125425","0.228435625","0.174151321","0.017739799","0.017544999","0.003441469","0.006025818","0.000000000","0.107295914"
"09203","203","092F","2F","0902","09","83","Treptow-K̦penick","769","0.807516045","0.163318360","0.095577354","0.170580300","0.219672067","0.200865670","0.023697893","0.010064565","0.006102911","0.006102911","0.000000000","0.090901947"
"09204","204","092F","2F","0902","09","83","Treptow-K̦penick","878","0.836013851","0.129674747","0.100444080","0.160610859","0.212477436","0.228380159","0.025277135","0.017580483","0.009944739","0.008571523","0.000000000","0.094785103"
"09205","205","092A","2A","0902","09","83","Treptow-K̦penick","873","0.815436889","0.168487609","0.093345862","0.160380965","0.162419571","0.249060330","0.021723896","0.010384150","0.004809836","0.012104224","0.000000000","0.102949608"
"09206","206","092B","2B","0902","09","83","Treptow-K̦penick","774","0.772609819","0.156621954","0.039108256","0.170413754","0.205743435","0.283959947","0.013791800","0.010957869","0.003211789","0.003022860","0.000000000","0.109200831"
"09207","207","092B","2B","0902","09","83","Treptow-K̦penick","860","0.824418605","0.136421119","0.031299399","0.191748340","0.190641796","0.278849194","0.018337022","0.022130888","0.010116978","0.007429655","0.000000000","0.107809042"
"09208","208","092D","2D","0902","09","83","Treptow-K̦penick","768","0.786696277","0.148423492","0.043785311","0.117688352","0.246862208","0.288279373","0.017355120","0.017431239","0.005818871","0.003306945","0.000000000","0.103614804"
"09209","209","092D","2D","0902","09","83","Treptow-K̦penick","766","0.814382844","0.124500863","0.098282803","0.125223893","0.237671514","0.262180593","0.018749486","0.018675540","0.005677430","0.009736258","0.000000000","0.085481883"
"09210","210","092C","2C","0902","09","83","Treptow-K̦penick","793","0.821561438","0.169139759","0.063250434","0.183533815","0.181662533","0.208063525","0.041426126","0.017033606","0.013784929","0.012687403","0.000000000","0.086847246"
"09211","211","092H","2H","0902","09","83","Treptow-K̦penick","1153","0.899492767","0.135362873","0.150485567","0.195276082","0.171649431","0.180390628","0.037129611","0.018346629","0.003719598","0.015440428","0.000687716","0.076758725"
"09212","212","092C","2C","0902","09","83","Treptow-K̦penick","943","0.839344411","0.146429088","0.063469325","0.239972344","0.148815119","0.237550161","0.045885904","0.017718991","0.002616500","0.009869491","0.002539677","0.071974079"
"09213","213","092I","2I","0902","09","83","Treptow-K̦penick","986","0.807709806","0.116003397","0.105317166","0.138637918","0.251916680","0.216661556","0.024274020","0.024450945","0.006970819","0.014720106","0.000000000","0.089335000"
"09214","214","092H","2H","0902","09","83","Treptow-K̦penick","661","0.806179788","0.126987185","0.089966455","0.131051677","0.231838433","0.245008820","0.031472986","0.024656637","0.002190478","0.013329994","0.000547620","0.078840698"
"09215","215","092G","2G","0902","09","83","Treptow-K̦penick","740","0.854673423","0.104288370","0.118295273","0.133629846","0.237602894","0.216310409","0.034934280","0.019715879","0.002140866","0.012961365","0.000000000","0.107325412"
"09216","216","092G","2G","0902","09","83","Treptow-K̦penick","873","0.860872470","0.138733810","0.137673068","0.152914247","0.230278584","0.187890799","0.030915029","0.018255918","0.003559067","0.013217396","0.000000000","0.073205114"
"09217","217","092E","2E","0902","09","83","Treptow-K̦penick","1142","0.841922542","0.128023340","0.159784163","0.131107932","0.235709329","0.180260307","0.031180161","0.019833166","0.002322650","0.014264471","0.000000000","0.082326616"
"09218","218","092E","2E","0902","09","83","Treptow-K̦penick","1016","0.792839032","0.130120318","0.120790130","0.113934190","0.268372732","0.217407979","0.031333684","0.014954096","0.004710914","0.011634735","0.001249003","0.063722911"
"09219","219","092S","2S","0902","09","83","Treptow-K̦penick","628","0.701583749","0.107494462","0.138506030","0.083312823","0.355894659","0.184531135","0.023812454","0.023812454","0.003076544","0.008675855","0.000000000","0.048670933"
"09220","220","092V","2V","0902","09","83","Treptow-K̦penick","843","0.746402242","0.119902097","0.137079634","0.086857833","0.294447201","0.179925350","0.026538350","0.027330761","0.004847035","0.015296487","0.003225185","0.078011716"
"09221","221","092V","2V","0902","09","83","Treptow-K̦penick","651","0.790757158","0.102326213","0.183232259","0.080005431","0.296596669","0.166138668","0.018514663","0.019505793","0.003874004","0.020496923","0.001937002","0.079059558"
"09222","222","092U","2U","0902","09","83","Treptow-K̦penick","591","0.754197282","0.108491537","0.137802166","0.083103406","0.287237985","0.185551620","0.034767121","0.035652514","0.004066631","0.017172508","0.002254664","0.082197422"
"09223","223","092N","2N","0902","09","83","Treptow-K̦penick","821","0.835696885","0.120042050","0.145492457","0.105664600","0.269716335","0.206161820","0.021425107","0.012609256","0.005586722","0.010584045","0.000589398","0.086854102"
"09224","224","092U","2U","0902","09","83","Treptow-K̦penick","908","0.802058818","0.149321839","0.114718560","0.127535994","0.262435060","0.180910366","0.018796375","0.016868703","0.009960688","0.010219818","0.000000000","0.081031715"
"09225","225","092T","2T","0902","09","83","Treptow-K̦penick","770","0.793717743","0.103921187","0.164670385","0.094115178","0.297419535","0.183233063","0.015137874","0.024943883","0.003093273","0.011253794","0.000000000","0.076544051"
"09226","226","092T","2T","0902","09","83","Treptow-K̦penick","843","0.830174778","0.110206852","0.161952882","0.087202136","0.297229520","0.184496338","0.026962545","0.025586716","0.004474759","0.018874577","0.000000000","0.065228629"
"09227","227","092S","2S","0902","09","83","Treptow-K̦penick","839","0.752569017","0.110986933","0.172025447","0.081757221","0.343019257","0.163729367","0.023125860","0.019944979","0.004212517","0.017795736","0.000000000","0.048701857"
"09228","228","092R","2R","0902","09","83","Treptow-K̦penick","775","0.796529477","0.082536827","0.167884853","0.086978522","0.328235691","0.178567413","0.030136062","0.020521759","0.007252896","0.012931519","0.002361408","0.071516923"
"09229","229","092R","2R","0902","09","83","Treptow-K̦penick","798","0.752743929","0.084008970","0.141797481","0.074463803","0.347996090","0.189235812","0.027542982","0.022367891","0.005922604","0.020125352","0.004255074","0.063596113"
"09230","230","092P","2P","0902","09","83","Treptow-K̦penick","839","0.801462533","0.108325934","0.147075695","0.113064228","0.297944120","0.168876037","0.020207814","0.025213276","0.004337543","0.022366108","0.002168771","0.066152762"
"09231","231","092Q","2Q","0902","09","83","Treptow-K̦penick","753","0.806984024","0.117038525","0.124267151","0.122169939","0.267338714","0.187635849","0.016366478","0.021771057","0.005489761","0.011235064","0.000000000","0.104916405"
"09232","232","092Q","2Q","0902","09","83","Treptow-K̦penick","1014","0.759705158","0.103794923","0.092827623","0.103659956","0.267706384","0.258793853","0.023717107","0.019435369","0.008751966","0.012061005","0.002620238","0.089816444"
"09233","233","092P","2P","0902","09","83","Treptow-K̦penick","1009","0.776583682","0.129888067","0.113222001","0.095044115","0.293691814","0.175235898","0.035179661","0.021899981","0.006524933","0.019221064","0.000698456","0.085398661"
"09234","234","092N","2N","0902","09","83","Treptow-K̦penick","1121","0.806327259","0.113461014","0.135276302","0.135568116","0.235520217","0.209339513","0.031570415","0.018238359","0.007995402","0.017554512","0.000664687","0.078605484"
"09235","235","092J","2J","0902","09","83","Treptow-K̦penick","911","0.813734420","0.101008727","0.131202503","0.094837807","0.317224155","0.208606247","0.020631280","0.022672057","0.004120425","0.016491419","0.000689977","0.060513887"
"09236","236","092J","2J","0902","09","83","Treptow-K̦penick","899","0.792756333","0.112109512","0.124785639","0.108579451","0.290568119","0.194795166","0.022544251","0.017610189","0.002818031","0.014090157","0.000702001","0.091681292"
"09237","237","092K","2K","0902","09","83","Treptow-K̦penick","836","0.839741769","0.131053834","0.120633569","0.129313553","0.236343483","0.228512221","0.018484457","0.011841940","0.005100361","0.011070862","0.000000000","0.089635157"
"09238","238","092K","2K","0902","09","83","Treptow-K̦penick","955","0.704686787","0.148249518","0.082814081","0.130621300","0.217062518","0.232647006","0.034663006","0.022112225","0.009664046","0.009458841","0.000000000","0.089510974"
"09239","239","092L","2L","0902","09","83","Treptow-K̦penick","903","0.903252149","0.126424978","0.122031918","0.183373207","0.184674526","0.193146383","0.029602810","0.018681020","0.002410097","0.006854060","0.002410097","0.119469115"
"09240","240","092L","2L","0902","09","83","Treptow-K̦penick","761","0.766574651","0.088784421","0.058593543","0.119476870","0.221573191","0.310111498","0.022418074","0.018738843","0.001803789","0.004208841","0.003535925","0.131486553"
"09241","241","092M","2M","0902","09","83","Treptow-K̦penick","1032","0.745155039","0.124020888","0.099216710","0.122715405","0.236292428","0.215404700","0.027415144","0.022193211","0.003916449","0.006527415","0.001305483","0.127937337"
"09301","301","093A","3A","0903","09","83","Treptow-K̦penick","1010","0.866201454","0.140568809","0.101482958","0.174174816","0.190308607","0.225601543","0.022141736","0.020082786","0.005276729","0.012229696","0.000000000","0.094057480"
"09302","302","093C","3C","0903","09","83","Treptow-K̦penick","836","0.811202499","0.127751577","0.100434862","0.127077847","0.223923562","0.228602928","0.028835671","0.020677406","0.009615974","0.011085931","0.000000000","0.085024806"
"09303","303","093B","3B","0903","09","83","Treptow-K̦penick","1025","0.787842402","0.137137780","0.127091307","0.146692182","0.226462548","0.189816840","0.019887917","0.022689995","0.007148715","0.015226900","0.001243849","0.083706944"
"09304","304","093D","3D","0903","09","83","Treptow-K̦penick","859","0.838886655","0.138327197","0.082485709","0.149998983","0.191646154","0.261539557","0.030234758","0.013675570","0.007165816","0.007994792","0.000000000","0.105483451"
"09305","305","093D","3D","0903","09","83","Treptow-K̦penick","796","0.848487894","0.129607082","0.108665184","0.152902915","0.188947873","0.257439244","0.021401863","0.018187525","0.005768492","0.006374562","0.000000000","0.100564403"
"09306","306","093F","3F","0903","09","83","Treptow-K̦penick","871","0.805317918","0.147933149","0.142086210","0.131312736","0.205319875","0.199998881","0.041269877","0.020671307","0.002875911","0.008664100","0.000000000","0.081473876"
"09307","307","093G","3G","0903","09","83","Treptow-K̦penick","721","0.789106866","0.114490894","0.158097371","0.098810857","0.241893755","0.222298829","0.031414685","0.024827294","0.005314283","0.003805669","0.001522267","0.072184829"
"09308","308","093F","3F","0903","09","83","Treptow-K̦penick","883","0.800190366","0.122932473","0.137301023","0.147995512","0.217272253","0.206852693","0.018984037","0.028012286","0.007137065","0.021375093","0.000000000","0.083275941"
"09309","309","093G","3G","0903","09","83","Treptow-K̦penick","1002","0.809435080","0.121820446","0.144586765","0.111729391","0.227183572","0.218591022","0.035004915","0.023510800","0.003715246","0.012200418","0.001412605","0.079568774"
"09310","310","093E","3E","0903","09","83","Treptow-K̦penick","909","0.804155917","0.139988778","0.099692172","0.121894210","0.215668526","0.240021948","0.041688496","0.034561648","0.004343068","0.011218818","0.000000000","0.072576670"
"09311","311","093B","3B","0903","09","83","Treptow-K̦penick","858","0.756948180","0.133860137","0.117004680","0.125093265","0.220562301","0.225903819","0.024706640","0.018144204","0.006562436","0.015057994","0.000000000","0.090585363"
"09312","312","093C","3C","0903","09","83","Treptow-K̦penick","807","0.818878204","0.110597806","0.106693615","0.129516182","0.235331040","0.242687489","0.034246403","0.018303246","0.005335308","0.011423837","0.000000000","0.081473298"
"09313","313","093A","3A","0903","09","83","Treptow-K̦penick","748","0.775583598","0.138831394","0.082615543","0.140573375","0.219097512","0.263595166","0.012007456","0.020328469","0.004261747","0.007745709","0.001741981","0.100745645"
"09314","314","093E","3E","0903","09","83","Treptow-K̦penick","678","0.752245239","0.128650258","0.124621179","0.116852063","0.214438994","0.223294210","0.047289130","0.021962862","0.003696242","0.003814487","0.001966366","0.096071648"
"09315","315","093H","3H","0903","09","83","Treptow-K̦penick","781","0.865711932","0.150817875","0.183457282","0.183306087","0.181709080","0.149636657","0.031807830","0.022509284","0.004583125","0.011046748","0.000000000","0.059835763"
"09316","316","093H","3H","0903","09","83","Treptow-K̦penick","1293","0.856054896","0.138121802","0.163507848","0.150000577","0.223508079","0.137937008","0.040400541","0.024323482","0.003545731","0.017728653","0.000000000","0.078577781"
