ID,Wahlbeteiligung,SPD,Gruen,CDU,LINKE,AfD,FDP,PMUT,FW,Volt,MLPD,BSW
07622,0.742006035,0.178625335,0.080843303,0.286120584,0.104322730,0.187954215,0.041452370,0.030970483,0.001201923,0.004940463,0.000000000,0.061207234
07623,0.784149076,0.174887935,0.067422784,0.370533390,0.119187448,0.124016216,0.049004779,0.014509657,0.001493278,0.005525264,0.000000000,0.058511201
07624,0.820865862,0.186740888,0.090904733,0.321171557,0.102816842,0.150129727,0.045713019,0.016933411,0.004691741,0.003774964,0.000000000,0.063107814
07625,0.885628231,0.204817360,0.117752863,0.323939723,0.072814949,0.167484027,0.046432791,0.012132610,0.003795057,0.005820374,0.001350211,0.035230862
07626,0.856223996,0.171603009,0.138305227,0.320476193,0.082617379,0.160794266,0.049133469,0.011559165,0.003230657,0.010102637,0.001045864,0.040898025
07627,0.900622542,0.157284876,0.137773752,0.377414824,0.072968077,0.108009459,0.072997907,0.011419227,0.003669013,0.012173097,0.000000000,0.040117799
07628,0.903325579,0.176743282,0.140177568,0.358407500,0.073400372,0.122302990,0.058957271,0.013482891,0.001480817,0.008053227,0.000000000,0.035979219
07701,0.863925700,0.145971286,0.144734556,0.355563155,0.083691224,0.128982637,0.063347452,0.014883368,0.002651540,0.006812940,0.000000000,0.042697776
07702,0.875607584,0.167993186,0.137510305,0.357747961,0.075646375,0.127962530,0.055681121,0.015335263,0.003380779,0.008274316,0.000989882,0.034031276
07704,0.790307213,0.154883348,0.071084114,0.316960560,0.106450630,0.202806004,0.034674289,0.028016984,0.004227885,0.007225328,0.000000000,0.054109643
07706,0.861459320,0.153629913,0.143211789,0.332732496,0.070293054,0.169553179,0.056390292,0.013321989,0.000972835,0.007390621,0.000000000,0.044239610
07716,0.799055764,0.152651894,0.161449611,0.232945438,0.138190287,0.159933011,0.048567137,0.014475982,0.001897547,0.011895606,0.000000000,0.060728687
07708,0.719874804,0.158765160,0.067254686,0.220507166,0.146637266,0.238147740,0.024255788,0.029768467,0.005512679,0.012127894,0.002205072,0.072767365
07715,0.707189441,0.180228322,0.091821788,0.235468604,0.118010319,0.230838872,0.032032739,0.019542032,0.003982011,0.006778987,0.000000000,0.070535327
07714,0.779279279,0.193023256,0.080232558,0.360465116,0.060465116,0.181395349,0.024418605,0.024418605,0.005813953,0.004651163,0.000000000,0.050000000
07720,0.793300654,0.156639004,0.112033195,0.322614108,0.097510373,0.192946058,0.042531120,0.017634855,0.001037344,0.007261411,0.000000000,0.040456432
